time[zone="UTC"],latitude[unit="degrees_north"],longitude[unit="degrees_east"],id[unit=""],pwl[unit="meters"]
2018-06-19T13:38:00Z,21.957,-159.36,nawi,0.118
2018-06-19T13:39:00Z,21.957,-159.36,nawi,0.115
2018-06-19T13:40:00Z,21.957,-159.36,nawi,0.115
2018-06-19T13:41:00Z,21.957,-159.36,nawi,0.116
2018-06-19T13:42:00Z,21.957,-159.36,nawi,0.102
2018-06-19T13:43:00Z,21.957,-159.36,nawi,0.107
2018-06-19T13:44:00Z,21.957,-159.36,nawi,0.1
2018-06-19T13:45:00Z,21.957,-159.36,nawi,0.098
2018-06-19T13:46:00Z,21.957,-159.36,nawi,0.099
2018-06-19T13:47:00Z,21.957,-159.36,nawi,0.1
2018-06-19T13:48:00Z,21.957,-159.36,nawi,0.095
2018-06-19T13:49:00Z,21.957,-159.36,nawi,0.1
2018-06-19T13:50:00Z,21.957,-159.36,nawi,0.104
2018-06-19T13:51:00Z,21.957,-159.36,nawi,0.105
2018-06-19T13:52:00Z,21.957,-159.36,nawi,0.113
2018-06-19T13:53:00Z,21.957,-159.36,nawi,0.111
2018-06-19T13:54:00Z,21.957,-159.36,nawi,0.105
2018-06-19T13:55:00Z,21.957,-159.36,nawi,0.11
2018-06-19T13:56:00Z,21.957,-159.36,nawi,0.105
2018-06-19T13:57:00Z,21.957,-159.36,nawi,0.106
2018-06-19T13:58:00Z,21.957,-159.36,nawi,0.113
2018-06-19T13:59:00Z,21.957,-159.36,nawi,0.112
2018-06-19T14:00:00Z,21.957,-159.36,nawi,0.114
2018-06-19T14:01:00Z,21.957,-159.36,nawi,0.113
2018-06-19T14:02:00Z,21.957,-159.36,nawi,0.108
2018-06-19T14:03:00Z,21.957,-159.36,nawi,0.108
2018-06-19T14:04:00Z,21.957,-159.36,nawi,0.107
2018-06-19T14:05:00Z,21.957,-159.36,nawi,0.097
2018-06-19T14:06:00Z,21.957,-159.36,nawi,0.099
2018-06-19T14:07:00Z,21.957,-159.36,nawi,0.1
2018-06-19T14:08:00Z,21.957,-159.36,nawi,0.095
2018-06-19T14:09:00Z,21.957,-159.36,nawi,0.109
2018-06-19T14:10:00Z,21.957,-159.36,nawi,0.114
2018-06-19T14:11:00Z,21.957,-159.36,nawi,0.108
2018-06-19T14:12:00Z,21.957,-159.36,nawi,0.112
2018-06-19T14:13:00Z,21.957,-159.36,nawi,0.114
2018-06-19T14:14:00Z,21.957,-159.36,nawi,0.108
2018-06-19T14:15:00Z,21.957,-159.36,nawi,0.11
2018-06-19T14:16:00Z,21.957,-159.36,nawi,0.123
2018-06-19T14:17:00Z,21.957,-159.36,nawi,0.12
2018-06-19T14:18:00Z,21.957,-159.36,nawi,0.119
2018-06-19T14:19:00Z,21.957,-159.36,nawi,0.113
2018-06-19T14:20:00Z,21.957,-159.36,nawi,0.11
2018-06-19T14:21:00Z,21.957,-159.36,nawi,0.098
2018-06-19T14:22:00Z,21.957,-159.36,nawi,0.093
2018-06-19T14:23:00Z,21.957,-159.36,nawi,0.098
2018-06-19T14:24:00Z,21.957,-159.36,nawi,0.101
2018-06-19T14:25:00Z,21.957,-159.36,nawi,0.101
2018-06-19T14:26:00Z,21.957,-159.36,nawi,0.11
2018-06-19T14:27:00Z,21.957,-159.36,nawi,0.11
2018-06-19T14:28:00Z,21.957,-159.36,nawi,0.106
2018-06-19T14:29:00Z,21.957,-159.36,nawi,0.106
2018-06-19T14:30:00Z,21.957,-159.36,nawi,0.106
2018-06-19T14:31:00Z,21.957,-159.36,nawi,0.107
2018-06-19T14:32:00Z,21.957,-159.36,nawi,0.115
2018-06-19T14:33:00Z,21.957,-159.36,nawi,0.12
2018-06-19T14:34:00Z,21.957,-159.36,nawi,0.127
2018-06-19T14:35:00Z,21.957,-159.36,nawi,0.13
2018-06-19T14:36:00Z,21.957,-159.36,nawi,0.121
2018-06-19T14:37:00Z,21.957,-159.36,nawi,0.113
2018-06-19T14:38:00Z,21.957,-159.36,nawi,0.113
2018-06-19T14:39:00Z,21.957,-159.36,nawi,0.103
2018-06-19T14:40:00Z,21.957,-159.36,nawi,0.104
2018-06-19T14:41:00Z,21.957,-159.36,nawi,0.111
2018-06-19T14:42:00Z,21.957,-159.36,nawi,0.109
2018-06-19T14:43:00Z,21.957,-159.36,nawi,0.109
2018-06-19T14:44:00Z,21.957,-159.36,nawi,0.116
2018-06-19T14:45:00Z,21.957,-159.36,nawi,0.107
2018-06-19T14:46:00Z,21.957,-159.36,nawi,0.106
2018-06-19T14:47:00Z,21.957,-159.36,nawi,0.107
2018-06-19T14:48:00Z,21.957,-159.36,nawi,0.11
2018-06-19T14:49:00Z,21.957,-159.36,nawi,0.11
2018-06-19T14:50:00Z,21.957,-159.36,nawi,0.117
2018-06-19T14:51:00Z,21.957,-159.36,nawi,0.116
2018-06-19T14:52:00Z,21.957,-159.36,nawi,0.115
2018-06-19T14:53:00Z,21.957,-159.36,nawi,0.112
2018-06-19T14:54:00Z,21.957,-159.36,nawi,0.111
2018-06-19T14:55:00Z,21.957,-159.36,nawi,0.109
2018-06-19T14:56:00Z,21.957,-159.36,nawi,0.114
2018-06-19T14:57:00Z,21.957,-159.36,nawi,0.116
2018-06-19T14:58:00Z,21.957,-159.36,nawi,0.122
2018-06-19T14:59:00Z,21.957,-159.36,nawi,0.115
2018-06-19T15:00:00Z,21.957,-159.36,nawi,0.121
2018-06-19T15:01:00Z,21.957,-159.36,nawi,0.118
2018-06-19T15:02:00Z,21.957,-159.36,nawi,0.114
2018-06-19T15:03:00Z,21.957,-159.36,nawi,0.117
2018-06-19T15:04:00Z,21.957,-159.36,nawi,0.12
2018-06-19T15:05:00Z,21.957,-159.36,nawi,0.117
2018-06-19T15:06:00Z,21.957,-159.36,nawi,0.123
2018-06-19T15:07:00Z,21.957,-159.36,nawi,0.125
2018-06-19T15:08:00Z,21.957,-159.36,nawi,0.122
2018-06-19T15:09:00Z,21.957,-159.36,nawi,0.13
2018-06-19T15:10:00Z,21.957,-159.36,nawi,0.132
2018-06-19T15:11:00Z,21.957,-159.36,nawi,0.128
2018-06-19T15:12:00Z,21.957,-159.36,nawi,0.126
2018-06-19T15:13:00Z,21.957,-159.36,nawi,0.12
2018-06-19T15:14:00Z,21.957,-159.36,nawi,0.114
2018-06-19T15:15:00Z,21.957,-159.36,nawi,0.12
2018-06-19T15:16:00Z,21.957,-159.36,nawi,0.127
2018-06-19T15:17:00Z,21.957,-159.36,nawi,0.131
2018-06-19T15:18:00Z,21.957,-159.36,nawi,0.139
2018-06-19T15:19:00Z,21.957,-159.36,nawi,0.138
2018-06-19T15:20:00Z,21.957,-159.36,nawi,0.131
2018-06-19T15:21:00Z,21.957,-159.36,nawi,0.128
2018-06-19T15:22:00Z,21.957,-159.36,nawi,0.127
2018-06-19T15:23:00Z,21.957,-159.36,nawi,0.128
2018-06-19T15:24:00Z,21.957,-159.36,nawi,0.136
2018-06-19T15:25:00Z,21.957,-159.36,nawi,0.143
2018-06-19T15:26:00Z,21.957,-159.36,nawi,0.146
2018-06-19T15:27:00Z,21.957,-159.36,nawi,0.147
2018-06-19T15:28:00Z,21.957,-159.36,nawi,0.142
2018-06-19T15:29:00Z,21.957,-159.36,nawi,0.143
2018-06-19T15:30:00Z,21.957,-159.36,nawi,0.141
2018-06-19T15:31:00Z,21.957,-159.36,nawi,0.139
2018-06-19T15:32:00Z,21.957,-159.36,nawi,0.136
2018-06-19T15:33:00Z,21.957,-159.36,nawi,0.143
2018-06-19T15:34:00Z,21.957,-159.36,nawi,0.144
2018-06-19T15:35:00Z,21.957,-159.36,nawi,0.149
2018-06-19T15:36:00Z,21.957,-159.36,nawi,0.151
2018-06-19T15:37:00Z,21.957,-159.36,nawi,0.151
2018-06-19T15:38:00Z,21.957,-159.36,nawi,0.142
2018-06-19T15:39:00Z,21.957,-159.36,nawi,0.14
2018-06-19T15:40:00Z,21.957,-159.36,nawi,0.139
2018-06-19T15:41:00Z,21.957,-159.36,nawi,0.139
2018-06-19T15:42:00Z,21.957,-159.36,nawi,0.143
2018-06-19T15:43:00Z,21.957,-159.36,nawi,0.152
2018-06-19T15:44:00Z,21.957,-159.36,nawi,0.158
2018-06-19T15:45:00Z,21.957,-159.36,nawi,0.162
2018-06-19T15:46:00Z,21.957,-159.36,nawi,0.157
2018-06-19T15:47:00Z,21.957,-159.36,nawi,0.157
2018-06-19T15:48:00Z,21.957,-159.36,nawi,0.15
2018-06-19T15:49:00Z,21.957,-159.36,nawi,0.147
2018-06-19T15:50:00Z,21.957,-159.36,nawi,0.153
2018-06-19T15:51:00Z,21.957,-159.36,nawi,0.16
2018-06-19T15:52:00Z,21.957,-159.36,nawi,0.161
2018-06-19T15:53:00Z,21.957,-159.36,nawi,0.168
2018-06-19T15:54:00Z,21.957,-159.36,nawi,0.166
2018-06-19T15:55:00Z,21.957,-159.36,nawi,0.161
2018-06-19T15:56:00Z,21.957,-159.36,nawi,0.162
2018-06-19T15:57:00Z,21.957,-159.36,nawi,0.166
2018-06-19T15:58:00Z,21.957,-159.36,nawi,0.164
2018-06-19T15:59:00Z,21.957,-159.36,nawi,0.167
2018-06-19T16:00:00Z,21.957,-159.36,nawi,0.171
2018-06-19T16:01:00Z,21.957,-159.36,nawi,0.17
2018-06-19T16:02:00Z,21.957,-159.36,nawi,0.171
2018-06-19T16:03:00Z,21.957,-159.36,nawi,0.174
2018-06-19T16:04:00Z,21.957,-159.36,nawi,0.179
2018-06-19T16:05:00Z,21.957,-159.36,nawi,0.17
2018-06-19T16:06:00Z,21.957,-159.36,nawi,0.172
2018-06-19T16:07:00Z,21.957,-159.36,nawi,0.17
2018-06-19T16:08:00Z,21.957,-159.36,nawi,0.168
2018-06-19T16:09:00Z,21.957,-159.36,nawi,0.177
2018-06-19T16:10:00Z,21.957,-159.36,nawi,0.192
2018-06-19T16:11:00Z,21.957,-159.36,nawi,0.188
2018-06-19T16:12:00Z,21.957,-159.36,nawi,0.194
2018-06-19T16:13:00Z,21.957,-159.36,nawi,0.192
2018-06-19T16:14:00Z,21.957,-159.36,nawi,0.183
2018-06-19T16:15:00Z,21.957,-159.36,nawi,0.184
2018-06-19T16:16:00Z,21.957,-159.36,nawi,0.184
2018-06-19T16:17:00Z,21.957,-159.36,nawi,0.18
2018-06-19T16:18:00Z,21.957,-159.36,nawi,0.183
2018-06-19T16:19:00Z,21.957,-159.36,nawi,0.19
2018-06-19T16:20:00Z,21.957,-159.36,nawi,0.187
2018-06-19T16:21:00Z,21.957,-159.36,nawi,0.185
2018-06-19T16:22:00Z,21.957,-159.36,nawi,0.183
2018-06-19T16:23:00Z,21.957,-159.36,nawi,0.178
2018-06-19T16:24:00Z,21.957,-159.36,nawi,0.178
2018-06-19T16:25:00Z,21.957,-159.36,nawi,0.186
2018-06-19T16:26:00Z,21.957,-159.36,nawi,0.192
2018-06-19T16:27:00Z,21.957,-159.36,nawi,0.199
2018-06-19T16:28:00Z,21.957,-159.36,nawi,0.208
2018-06-19T16:29:00Z,21.957,-159.36,nawi,0.208
2018-06-19T16:30:00Z,21.957,-159.36,nawi,0.204
2018-06-19T16:31:00Z,21.957,-159.36,nawi,0.205
2018-06-19T16:32:00Z,21.957,-159.36,nawi,0.204
2018-06-19T16:33:00Z,21.957,-159.36,nawi,0.199
2018-06-19T16:34:00Z,21.957,-159.36,nawi,0.197
2018-06-19T16:35:00Z,21.957,-159.36,nawi,0.202
2018-06-19T16:36:00Z,21.957,-159.36,nawi,0.2
2018-06-19T16:37:00Z,21.957,-159.36,nawi,0.208
